iter	Passed	Remaining
0	38	27224
1	41	14443
2	42	9982
3	44	7745
4	46	6452
5	48	5580
6	49	4913
7	50	4403
8	53	4104
9	55	3851
10	57	3583
11	58	3352
12	59	3155
13	60	2986
14	62	2845
15	63	2718
16	64	2610
17	67	2571
18	69	2482
19	71	2429
20	72	2357
21	74	2295
22	75	2229
23	76	2168
24	78	2118
25	80	2075
26	82	2061
27	84	2025
28	86	1990
29	87	1950
30	89	1923
31	90	1887
32	91	1854
33	93	1824
34	94	1798
35	96	1783
36	98	1760
37	99	1733
38	100	1707
39	101	1682
40	103	1660
41	104	1637
42	105	1618
43	107	1599
44	108	1580
45	110	1568
46	112	1561
47	113	1545
48	115	1532
49	116	1517
50	118	1502
51	119	1488
52	120	1475
53	122	1461
54	123	1450
55	125	1448
56	127	1436
57	128	1423
58	129	1410
59	131	1399
60	132	1388
61	133	1376
62	135	1365
63	136	1354
64	137	1345
65	138	1335
66	141	1335
67	142	1326
68	144	1317
69	145	1307
70	146	1297
71	147	1288
72	148	1279
73	150	1271
74	151	1262
75	152	1254
76	154	1246
77	156	1248
78	158	1242
79	159	1238
80	161	1234
81	162	1227
82	164	1219
83	165	1212
84	166	1206
85	167	1199
86	171	1204
87	172	1198
88	173	1191
89	174	1183
90	175	1177
91	177	1173
92	178	1166
93	180	1161
94	181	1156
95	182	1150
96	186	1157
97	187	1152
98	189	1150
99	191	1148
100	193	1150
101	195	1145
102	196	1139
103	197	1133
104	199	1128
105	201	1128
106	202	1123
107	203	1118
108	205	1113
109	206	1107
110	207	1102
111	208	1096
112	210	1091
113	211	1086
114	213	1088
115	216	1089
116	217	1086
117	219	1083
118	221	1081
119	223	1080
120	225	1078
121	227	1077
122	229	1076
123	232	1081
124	234	1077
125	235	1073
126	236	1068
127	238	1063
128	239	1059
129	240	1056
130	242	1052
131	243	1048
132	245	1047
133	246	1043
134	248	1040
135	250	1039
136	252	1035
137	253	1031
138	254	1028
139	256	1025
140	257	1021
141	259	1019
142	262	1022
143	263	1018
144	264	1014
145	266	1010
146	267	1006
147	268	1002
148	270	998
149	271	994
150	272	990
151	273	987
152	276	988
153	278	988
154	280	984
155	281	981
156	283	980
157	284	976
158	285	973
159	287	969
160	288	965
161	291	968
162	293	966
163	294	963
164	295	959
165	297	958
166	299	957
167	301	956
168	303	954
169	307	957
170	308	954
171	310	951
172	311	948
173	313	946
174	314	943
175	316	940
176	317	938
177	318	935
178	321	936
179	323	933
180	324	931
181	326	928
182	327	925
183	329	922
184	330	919
185	331	916
186	333	913
187	334	911
188	336	911
189	338	908
190	340	906
191	341	903
192	343	901
193	344	898
194	345	895
195	347	893
196	348	890
197	351	890
198	353	888
199	354	885
200	355	883
201	357	881
202	359	880
203	361	878
204	362	876
205	364	874
206	367	874
207	368	870
208	369	868
209	371	866
210	373	864
211	374	862
212	376	860
213	377	858
214	379	856
215	383	858
216	384	856
217	386	854
218	388	853
219	390	851
220	391	849
221	394	849
222	397	850
223	399	848
224	400	845
225	402	843
226	403	841
227	405	839
228	406	835
229	407	832
230	408	830
231	410	828
232	413	828
233	414	826
234	416	824
235	418	822
236	419	820
237	421	818
238	423	817
239	425	815
240	428	815
241	430	814
242	432	814
243	434	812
244	436	809
245	437	807
246	439	805
247	440	803
248	443	803
249	444	800
250	446	798
251	447	795
252	448	792
253	449	790
254	451	787
255	452	784
256	453	782
257	455	779
258	456	777
259	458	776
260	460	773
261	461	771
262	462	768
263	463	765
264	464	763
265	466	760
266	467	758
267	468	755
268	469	752
269	471	750
270	473	750
271	475	748
272	477	746
273	478	744
274	480	741
275	481	739
276	482	736
277	483	734
278	484	731
279	486	729
280	488	728
281	490	726
282	491	724
283	492	721
284	493	719
285	495	716
286	496	714
287	497	711
288	498	709
289	500	707
290	501	704
291	503	703
292	505	701
293	506	699
294	507	696
295	508	694
296	510	692
297	511	689
298	512	687
299	514	685
300	515	683
301	516	680
302	519	680
303	520	677
304	521	675
305	523	673
306	524	671
307	525	668
308	526	666
309	527	664
310	529	661
311	530	659
312	531	657
313	534	656
314	535	654
315	537	652
316	538	650
317	539	648
318	541	646
319	542	643
320	543	641
321	544	639
322	546	637
323	547	635
324	549	634
325	551	632
326	552	629
327	553	627
328	554	625
329	555	623
330	557	621
331	558	618
332	559	616
333	561	614
334	562	612
335	564	611
336	566	609
337	567	607
338	569	606
339	570	604
340	571	601
341	572	599
342	574	597
343	575	595
344	576	593
345	577	591
346	580	590
347	581	588
348	582	586
349	583	583
350	585	581
351	586	579
352	588	578
353	589	576
354	590	574
355	591	571
356	593	570
357	595	568
358	596	566
359	597	564
360	599	562
361	600	560
362	601	558
363	602	556
364	603	554
365	605	552
366	606	550
367	607	548
368	608	545
369	610	544
370	611	542
371	612	540
372	614	538
373	615	536
374	616	534
375	617	532
376	619	530
377	620	528
378	621	526
379	623	524
380	625	523
381	626	521
382	627	519
383	628	517
384	630	515
385	631	513
386	633	512
387	634	510
388	635	508
389	637	506
390	639	505
391	640	503
392	641	500
393	642	498
394	643	496
395	644	495
396	646	493
397	648	491
398	649	490
399	650	487
400	651	485
401	653	484
402	655	483
403	656	481
404	659	480
405	661	478
406	663	477
407	665	475
408	666	474
409	668	472
410	669	471
411	673	470
412	674	468
413	675	466
414	677	465
415	678	463
416	679	461
417	680	459
418	681	457
419	688	458
420	689	457
421	690	455
422	692	453
423	693	451
424	694	449
425	695	447
426	696	445
427	698	443
428	700	442
429	702	440
430	703	439
431	705	437
432	706	435
433	707	433
434	709	431
435	710	430
436	711	428
437	714	427
438	715	425
439	717	423
440	718	421
441	719	419
442	720	418
443	721	416
444	723	414
445	724	412
446	725	410
447	726	408
448	729	407
449	730	405
450	731	403
451	732	402
452	733	400
453	735	398
454	736	396
455	737	394
456	738	392
457	739	390
458	741	389
459	743	387
460	744	386
461	746	384
462	747	382
463	748	380
464	749	378
465	750	377
466	752	375
467	753	373
468	754	371
469	755	369
470	756	368
471	759	366
472	760	365
473	762	363
474	763	361
475	764	359
476	766	358
477	767	356
478	768	354
479	769	352
480	770	350
481	772	349
482	774	347
483	775	346
484	776	344
485	777	342
486	779	340
487	780	338
488	781	337
489	782	335
490	783	333
491	784	331
492	786	330
493	789	329
494	790	327
495	791	325
496	792	323
497	793	322
498	795	320
499	796	318
500	797	316
501	798	314
502	799	313
503	801	311
504	803	310
505	804	308
506	805	306
507	807	305
508	808	303
509	809	301
510	810	299
511	811	298
512	813	296
513	814	294
514	815	292
515	817	291
516	818	289
517	820	288
518	821	286
519	822	284
520	823	282
521	824	281
522	826	279
523	827	277
524	828	276
525	829	274
526	831	272
527	833	271
528	835	269
529	836	268
530	837	266
531	839	264
532	840	263
533	841	261
534	842	259
535	843	258
536	844	256
537	846	254
538	856	255
539	857	254
540	858	252
541	860	250
542	861	249
543	862	247
544	865	246
545	867	244
546	868	243
547	870	241
548	871	239
549	873	238
550	875	236
551	877	235
552	880	234
553	881	232
554	882	230
555	884	229
556	885	227
557	886	225
558	887	223
559	889	222
560	890	220
561	891	218
562	893	217
563	895	215
564	897	214
565	898	212
566	899	210
567	900	209
568	901	207
569	903	205
570	904	204
571	905	202
572	906	200
573	907	199
574	910	197
575	911	196
576	913	194
577	914	192
578	915	191
579	916	189
580	917	187
581	919	186
582	920	184
583	920	182
584	922	181
585	923	179
586	925	178
587	926	176
588	928	174
589	929	173
590	930	171
591	931	169
592	933	168
593	934	166
594	935	165
595	936	163
596	937	161
597	940	160
598	941	158
599	943	157
600	944	155
601	946	154
602	947	152
603	948	150
604	950	149
605	951	147
606	952	145
607	955	144
608	956	142
609	957	141
610	959	139
611	960	138
612	961	136
613	962	134
614	963	133
615	965	131
616	966	130
617	967	128
618	970	126
619	971	125
620	972	123
621	974	122
622	975	120
623	976	118
624	977	117
625	978	115
626	980	114
627	981	112
628	982	110
629	985	109
630	986	107
631	988	106
632	989	104
633	990	103
634	991	101
635	993	99
636	994	98
637	996	96
638	998	95
639	1000	93
640	1002	92
641	1004	90
642	1005	89
643	1006	87
644	1008	86
645	1009	84
646	1012	82
647	1014	81
648	1016	79
649	1018	78
650	1020	76
651	1021	75
652	1022	73
653	1024	72
654	1026	70
655	1029	69
656	1032	67
657	1034	66
658	1035	64
659	1037	62
660	1038	61
661	1039	59
662	1040	58
663	1042	56
664	1045	55
665	1046	53
666	1047	51
667	1048	50
668	1050	48
669	1051	47
670	1052	45
671	1054	43
672	1055	42
673	1057	40
674	1060	39
675	1061	37
676	1062	36
677	1063	34
678	1064	32
679	1066	31
680	1067	29
681	1068	28
682	1069	26
683	1070	25
684	1073	23
685	1075	21
686	1076	20
687	1077	18
688	1079	17
689	1080	15
690	1081	14
691	1082	12
692	1083	10
693	1085	9
694	1086	7
695	1088	6
696	1090	4
697	1091	3
698	1092	1
699	1093	0
